section,sample_id,taxon,date,label,rel_abund,level,temp[C]
81RABR,R45_10_18_21,Bacillariophyta,2021_10_18,23s,0.0072526834928923,Phylum,20.0
81RABR,R45_10_18_21,Chlorophyta,2021_10_18,23s,37.7728822164201,Phylum,20.0
81RABR,R45_10_18_21,Cyanobacteria,2021_10_18,23s,41.7496192341166,Phylum,20.0
81RABR,R45_10_18_21,Ochrophyta,2021_10_18,23s,0.0933782999709893,Phylum,20.0
81RABR,R45_10_18_21,Rhodophyta,2021_10_18,23s,0.0022664635915288,Phylum,20.0
81RABR,R45_10_18_21,Unclassified,2021_10_18,23s,12.3159631563679,Phylum,20.0
81RABR,R45_10_18_21,Unclassified Chromista,2021_10_18,23s,0.0009065854366115,Phylum,20.0
81RABR,R45_10_18_21,Unclassified Plantae,2021_10_18,23s,8.05773136060342,Phylum,20.0
81RABR,R45_11_15_22,Bryophyta,2021_11_15,23s,0.0061525967034386,Phylum,
81RABR,R45_11_15_22,Charophyta,2021_11_15,23s,0.0006152596703438,Phylum,
81RABR,R45_11_15_22,Chlorophyta,2021_11_15,23s,36.4479828711708,Phylum,
81RABR,R45_11_15_22,Cyanobacteria,2021_11_15,23s,56.4026997594335,Phylum,
81RABR,R45_11_15_22,Ochrophyta,2021_11_15,23s,0.0618335968695588,Phylum,
81RABR,R45_11_15_22,Rhodophyta,2021_11_15,23s,0.137202906486683,Phylum,
81RABR,R45_11_15_22,Unclassified,2021_11_15,23s,5.23862846314287,Phylum,
81RABR,R45_11_15_22,Unclassified Chromista,2021_11_15,23s,0.0366079503854602,Phylum,
81RABR,R45_11_15_22,Unclassified Plantae,2021_11_15,23s,1.6682765961374,Phylum,
81RABR,R36_10_28_21,Chlorophyta,2021_10_28,23s,25.9709041219161,Phylum,20.0
81RABR,R36_10_28_21,Cyanobacteria,2021_10_28,23s,60.1139838522876,Phylum,20.0
81RABR,R36_10_28_21,Ochrophyta,2021_10_28,23s,0.0716565153269953,Phylum,20.0
81RABR,R36_10_28_21,Rhodophyta,2021_10_28,23s,0.0024996458834998,Phylum,20.0
81RABR,R36_10_28_21,Unclassified,2021_10_28,23s,7.93137638834498,Phylum,20.0
81RABR,R36_10_28_21,Unclassified Chromista,2021_10_28,23s,0.030828965896498,Phylum,20.0
81RABR,R36_10_28_21,Unclassified Plantae,2021_10_28,23s,5.87875051034437,Phylum,20.0
81RABR,R60_11_01_21,Chlorophyta,2021_11_01,23s,36.9968599613944,Phylum,10.0
81RABR,R60_11_01_21,Cyanobacteria,2021_11_01,23s,55.5626717903557,Phylum,10.0
81RABR,R60_11_01_21,Ochrophyta,2021_11_01,23s,4.83948442878873,Phylum,10.0
81RABR,R60_11_01_21,Unclassified,2021_11_01,23s,1.88179933996922,Phylum,10.0
81RABR,R60_11_01_21,Unclassified Chromista,2021_11_01,23s,0.0093400581752194,Phylum,10.0
81RABR,R60_11_01_21,Unclassified Plantae,2021_11_01,23s,0.709844421316681,Phylum,10.0
81RABR,R72_11_15_21,Bacillariophyta,2021_11_15,23s,0.0136005290136803,Phylum,10.0
81RABR,R72_11_15_21,Chlorophyta,2021_11_15,23s,26.0998841610115,Phylum,10.0
81RABR,R72_11_15_21,Cyanobacteria,2021_11_15,23s,54.7538538740403,Phylum,10.0
81RABR,R72_11_15_21,Ochrophyta,2021_11_15,23s,0.0393946357637635,Phylum,10.0
81RABR,R72_11_15_21,Rhodophyta,2021_11_15,23s,1.14713427474007,Phylum,10.0
81RABR,R72_11_15_21,Unclassified,2021_11_15,23s,11.9018698382475,Phylum,10.0
81RABR,R72_11_15_21,Unclassified Chromista,2021_11_15,23s,0.0234491879546211,Phylum,10.0
81RABR,R72_11_15_21,Unclassified Plantae,2021_11_15,23s,6.02081349922852,Phylum,10.0
81RABR,R75_11_15_21,Bacillariophyta,2021_11_15,23s,0.0027878449958182,Phylum,10.0
81RABR,R75_11_15_21,Bryophyta,2021_11_15,23s,0.002389581424987,Phylum,10.0
81RABR,R75_11_15_21,Chlorophyta,2021_11_15,23s,19.9940260464375,Phylum,10.0
81RABR,R75_11_15_21,Cyanobacteria,2021_11_15,23s,41.3309968537178,Phylum,10.0
81RABR,R75_11_15_21,Ochrophyta,2021_11_15,23s,34.4071846748178,Phylum,10.0
81RABR,R75_11_15_21,Unclassified,2021_11_15,23s,3.21000438089928,Phylum,10.0
81RABR,R75_11_15_21,Unclassified Chromista,2021_11_15,23s,0.0215062328248835,Phylum,10.0
81RABR,R75_11_15_21,Unclassified Plantae,2021_11_15,23s,1.03110438488192,Phylum,10.0
81RABR,R27_11_03_21,Bacillariophyta,2021_11_03,23s,0.0009763527367167,Phylum,30.0
81RABR,R27_11_03_21,Chlorophyta,2021_11_03,23s,49.5230516881139,Phylum,30.0
81RABR,R27_11_03_21,Cyanobacteria,2021_11_03,23s,39.3484798187889,Phylum,30.0
81RABR,R27_11_03_21,Ochrophyta,2021_11_03,23s,0.11618597566929,Phylum,30.0
81RABR,R27_11_03_21,Rhodophyta,2021_11_03,23s,0.0151334674191092,Phylum,30.0
81RABR,R27_11_03_21,Unclassified,2021_11_03,23s,9.84505282068306,Phylum,30.0
81RABR,R27_11_03_21,Unclassified Plantae,2021_11_03,23s,1.15111987658901,Phylum,30.0
